fname,lname,bpoint,dpoint,operator,vehnum,fdes,atime
Somnath ,Trivedi,Poonamallee,Majestic,Evacay,PN436R4545,Fraser Town,1200
Nitika ,Natt,Poonamallee,Silk_Board,Evacay,PN436R4545,Gandhi Nagar,1030
Sushmita,Lad,Poonamallee,Silk_Board,Evacay,PN436R4545,Asha Townshp,1030
Zaad,Sandal,Poonamallee,Silk_Board,Evacay,PN436R4545,AVS Layout,1030
Priyanka ,Kabra,Poonamallee,Silk_Board,Evacay,PN436R4545,Baiyyappanahali,1030
Mukti ,Ray,Poonamallee,Silk_Board,Evacay,PN436R4545,Fraser Town,1030
Tanay ,Nayak,Poonamallee,Elec_City,Evacay,PN436R4545,Hankon,1000
Sapna ,Basak,Poonamallee,Elec_City,Evacay,PN436R4545,Hoskote,1000
Wafiq ,Vasa,Egmore,Silk_Board,Asian_Express,KN748Y8768,Huskur,1730
Lakshmi ,Naidu,Egmore,Majestic,Asian_Express,KN748Y8768,Hebbal,1900
Mridula,Verma,Egmore,Majestic,Asian_Express,KN748Y8768,Hoodi,1900
Alka,Pradhan,Egmore,Majestic,Asian_Express,KN748Y8768,Hesargatta,1900
Labeen,Purohit,Egmore,Elec_City,Asian_Express,KN748Y8768,Indra Nagar,1700
Bhola ,Ravel,Egmore,Elec_City,Asian_Express,KN748Y8768,Devasandra,1700
Aryan,Shukla,Egmore,Elec_City,Asian_Express,KN748Y8768,Dasrahalli,1700
Zahir ,Batra,Egmore,Elec_City,Asian_Express,KN748Y8768,Devasandra,1700
Mahmood,Khatri,Egmore,Elec_City,Asian_Express,KN748Y8768,Fraser Town,1700
Zara ,Sodhi,Egmore,Madiwala,Asian_Express,KN748Y8768,Gandhi Nagar,1830
Parveen ,Mody,Egmore,Madiwala,Asian_Express,KN748Y8768,Asha Townshp,1830
Narmada ,Choudhry,Egmore,Madiwala,Asian_Express,KN748Y8768,AVS Layout,1830
Arjun ,Manne,Egmore,Madiwala,Asian_Express,KN748Y8768,Baiyyappanahali,1830
Kalpit,Murthy,Egmore,Madiwala,Asian_Express,KN748Y8768,Fraser Town,1830
Neerendra ,Nori,Egmore,Madiwala,Asian_Express,KN748Y8768,Hankon,1830
Kushal,Chander,Egmore,Madiwala,Asian_Express,KN748Y8768,Hoskote,1830
Akshay ,Somani,Egmore,Madiwala,Asian_Express,KN748Y8768,Huskur,1830
Sameera ,Chokshi,Egmore,Majestic,Asian_Express,KN748Y8768,Hebbal,1900
Hetan,Sekhon,Egmore,Majestic,Asian_Express,KN748Y8768,Hoskote,1900
Sheetal ,Wadhwa,Egmore,Madiwala,Asian_Express,KN748Y8768,Huskur,1830
Vimala ,Sandhu,Egmore,Silk_Board,Asian_Express,KN748Y8768,Hebbal,1730
Arathy,Jeevan,Egmore,Silk_Board,Asian_Express,KN748Y8768,Hoodi,1730
Jasmin,Chana,Egmore,Silk_Board,Asian_Express,KN748Y8768,Hesargatta,1730
Nancy ,Sura,Egmore,Madiwala,Asian_Express,KN748Y8768,Indra Nagar,1830
Kajal ,Oak,Egmore,Madiwala,Asian_Express,KN748Y8768,Devasandra,1830
Padama,Badal,Egmore,Madiwala,Asian_Express,KN748Y8768,Dasrahalli,1830
Aabha,Joshi,Egmore,Madiwala,Asian_Express,KN748Y8768,Devasandra,1830
Uday ,Mammen,Egmore,Madiwala,Asian_Express,KN748Y8768,Jayanagar,1830
Karim,Raj,Egmore,Elec_City,Asian_Express,KN748Y8768,Lavelle Road,1700
Kailash ,Chandran,Egmore,Elec_City,Asian_Express,KN748Y8768,Madiwala,1700
Jiya,Narain,Velachery,Majestic,Green_Pearl,PM1010T890,Medanhalli,2300
Dinesh ,Ahluwalia,Velachery,Majestic,Green_Pearl,PM1010T890,Mathikere,2300
Leela,Rai,Velachery,Elec_City,Green_Pearl,PM1010T890,Michaelpalya,2100
Feroz,Swamy,Velachery,Elec_City,Green_Pearl,PM1010T890,Malleshwaram,2100
Kasturba ,Iyengar,Velachery,Majestic,Green_Pearl,PM1010T890,Nelamangla,2300
Chand ,Doshi,Velachery,Silk_Board,Green_Pearl,PM1010T890,Narayanapura,2130
Jiya ,Mathai,Velachery,Majestic,Green_Pearl,PM1010T890,Nagawara,2300
Shreeja,Pal,Velachery,Majestic,Green_Pearl,PM1010T890,Old Madras Road,2300
Balaji ,Ramroop,Velachery,Majestic,Green_Pearl,PM1010T890,Palace Road,2300
Sneha,Deo,Velachery,Majestic,Green_Pearl,PM1010T890,Park Road,2300
Eddie,Pradhan,Velachery,Madiwala,Green_Pearl,PM1010T890,Peenya,2230
Mahmood,Hayre,Velachery,Madiwala,Green_Pearl,PM1010T890,Puttenhalli,2230
Leelawati,Dial,Velachery,Madiwala,Green_Pearl,PM1010T890,Queens Road,2230
Varun,Parmer,Velachery,Madiwala,Green_Pearl,PM1010T890,Shivaji Nagar,2230
Preshita,Dhillon,Velachery,Elec_City,Green_Pearl,PM1010T890,Silicon Town,2100
Fatima,Lodi,Velachery,Elec_City,Green_Pearl,PM1010T890,Sadahalli,2100
Ganesh ,Goel,Velachery,Elec_City,Green_Pearl,PM1010T890,Swastik Circle,2100
Hira ,Sood,Velachery,Elec_City,Green_Pearl,PM1010T890,Trinity Circle,2100
Aabha ,Som,Velachery,Elec_City,Green_Pearl,PM1010T890,Thanisandra,2100
Farah ,Borra,Velachery,Silk_Board,Green_Pearl,PM1010T890,Telacauvery,2130
Kabeer ,Mani,Velachery,Silk_Board,Green_Pearl,PM1010T890,Uttarahalli,2130
Binita ,Nawal,Velachery,Silk_Board,Green_Pearl,PM1010T890,Vijaya Nagar,2130
Surya ,Dara,Velachery,Silk_Board,Green_Pearl,PM1010T890,Victoria Road,2130
Zeeshan ,Banik,Velachery,Majestic,Green_Pearl,PM1010T890,Whitefield,2300
Navami ,Natt,Velachery,Majestic,Green_Pearl,PM1010T890,Xavier Layout,2300
Gajendra,Jacob,Velachery,Madiwala,Green_Pearl,PM1010T890,Yelahanka,2230
Esha ,Krishna,Velachery,Silk_Board,Green_Pearl,PM1010T890,Yadavanhalli,2130
Vikrant ,Thaker,Velachery,Silk_Board,Green_Pearl,PM1010T890,Yeshwanthpura,2130
Narayan,Mehta,Velachery,Silk_Board,Green_Pearl,PM1010T890,Wheeler Road,2130
Chhavi,Jhaveri,Velachery,Madiwala,Green_Pearl,PM1010T890,Varadpura,2230
